,19-Jan,19-Feb,Standard error,January to February 2019,February 2018 to February 2019,January to February 2019,February 2018 to February 2019
"Both sexes, 15 years and over",,,,,,,
Population,3498.9,3501.6,0,2.7,51.1,0.1,1.5
Labour force,2495.7,2512.6,9.6,16.9,31.8,0.7,1.3
Employment,2326.4,2330.2,9.9,3.8,13.7,0.2,0.6
Full-time employment,1904.4,1906.3,13.9,1.9,-0.9,0.1,0
Unemployment,169.3,182.5,8.1,13.2,18.2,7.8,11.1
Participation rate,71.3,71.8,0.3,0.5,-0.1,0,0
Unemployment rate,6.8,7.3,0.3,0.5,0.7,0,0
Employment rate,66.5,66.5,0.3,0,-0.6,0,0
"Both sexes, 15 to 24 years",,,,,,,
Population,505.8,505.4,0,-0.4,-1.2,-0.1,-0.2
Labour force,315,320,5.5,5,-7.1,1.6,-2.2
Employment,277.8,282.8,5.1,5,-1.5,1.8,-0.5
Unemployment,37.2,37.2,4.3,0,-5.6,0,-13.1
Participation rate,62.3,63.3,1.1,1,-1.3,0,0
Unemployment rate,11.8,11.6,1.2,-0.2,-1.5,0,0
Employment rate,54.9,56,1,1.1,-0.1,0,0
"Men, 25 years and over",,,,,,,
Population,1502.3,1503.5,0,1.2,21.4,0.1,1.4
Labour force,1190.2,1195.1,5.2,4.9,11,0.4,0.9
Employment,1110.7,1112.6,5.8,1.9,-3.7,0.2,-0.3
Unemployment,79.5,82.5,5.1,3,14.7,3.8,21.7
Participation rate,79.2,79.5,0.3,0.3,-0.4,0,0
Unemployment rate,6.7,6.9,0.4,0.2,1.2,0,0
Employment rate,73.9,74,0.4,0.1,-1.3,0,0
"Women, 25 years and over",,,,,,,
Population,1490.8,1492.7,0,1.9,30.8,0.1,2.1
Labour force,990.5,997.6,5.5,7.1,28,0.7,2.9
Employment,937.9,934.8,5.7,-3.1,18.9,-0.3,2.1
Unemployment,52.6,62.7,4.6,10.1,9.1,19.2,17
Participation rate,66.4,66.8,0.4,0.4,0.5,0,0
Unemployment rate,5.3,6.3,0.5,1,0.8,0,0
Employment rate,62.9,62.6,0.4,-0.3,-0.1,0,0
