,19-Jan,19-Feb,Standard error,January to February 2019,February 2018 to February 2019,January to February 2019,February 2018 to February 2019
"Both sexes, 15 years and over",,,,,,,
Population,4063.7,4067.3,0,3.6,59.7,0.1,1.5
Labour force,2668.6,2668.9,10.2,0.3,67.8,0,2.6
Employment,2544.2,2547.8,10.3,3.6,69.2,0.1,2.8
Full-time employment,1971,1973.3,15.9,2.3,50.6,0.1,2.6
Unemployment,124.4,121.1,8,-3.3,-1.5,-2.7,-1.2
Participation rate,65.7,65.6,0.3,-0.1,0.7,0,0
Unemployment rate,4.7,4.5,0.3,-0.2,-0.2,0,0
Employment rate,62.6,62.6,0.3,0,0.8,0,0
"Both sexes, 15 to 24 years",,,,,,,
Population,584.8,585.2,0,0.4,4.5,0.1,0.8
Labour force,383.9,384.5,5.8,0.6,6.9,0.2,1.8
Employment,348.9,350.4,5.7,1.5,3,0.4,0.9
Unemployment,35,34,4.4,-1,3.8,-2.9,12.6
Participation rate,65.6,65.7,1,0.1,0.7,0,0
Unemployment rate,9.1,8.8,1.1,-0.3,0.8,0,0
Employment rate,59.7,59.9,1,0.2,0.1,0,0
"Men, 25 years and over",,,,,,,
Population,1699.1,1700.8,0,1.7,28.8,0.1,1.7
Labour force,1194.3,1189.4,5.3,-4.9,26,-0.4,2.2
Employment,1148.3,1147,5.8,-1.3,32.9,-0.1,3
Unemployment,46,42.4,4.6,-3.6,-6.9,-7.8,-14
Participation rate,70.3,69.9,0.3,-0.4,0.3,0,0
Unemployment rate,3.9,3.6,0.4,-0.3,-0.6,0,0
Employment rate,67.6,67.4,0.3,-0.2,0.8,0,0
"Women, 25 years and over",,,,,,,
Population,1779.8,1781.3,0,1.5,26.5,0.1,1.5
Labour force,1090.4,1095.1,6.2,4.7,34.9,0.4,3.3
Employment,1046.9,1050.5,6,3.6,33.4,0.3,3.3
Unemployment,43.5,44.6,4.6,1.1,1.5,2.5,3.5
Participation rate,61.3,61.5,0.4,0.2,1.1,0,0
Unemployment rate,4,4.1,0.4,0.1,0,0,0
Employment rate,58.8,59,0.3,0.2,1,0,0
