,19-Jan,19-Feb,Standard error,January to February 2019,February 2018 to February 2019,January to February 2019,February 2018 to February 2019
"Both sexes, 15 years and over",,,,,,,
Population,1031.2,1032.1,0,0.9,11.7,0.1,1.1
Labour force,696.3,690.8,2.7,-5.5,7.9,-0.8,1.2
Employment,657.7,654.4,2.7,-3.3,12.1,-0.5,1.9
Full-time employment,527.2,524.5,3.8,-2.7,11.9,-0.5,2.3
Unemployment,38.6,36.4,2.2,-2.2,-4.2,-5.7,-10.3
Participation rate,67.5,66.9,0.3,-0.6,0,0,0
Unemployment rate,5.5,5.3,0.3,-0.2,-0.6,0,0
Employment rate,63.8,63.4,0.3,-0.4,0.5,0,0
"Both sexes, 15 to 24 years",,,,,,,
Population,166.2,166.3,0,0.1,0.8,0.1,0.5
Labour force,111.4,108.7,1.6,-2.7,-1.1,-2.4,-1
Employment,97.3,98,1.5,0.7,1.5,0.7,1.6
Unemployment,14.1,10.8,1.3,-3.3,-2.5,-23.4,-18.8
Participation rate,67,65.4,0.9,-1.6,-0.9,0,0
Unemployment rate,12.7,9.9,1.1,-2.8,-2.2,0,0
Employment rate,58.5,58.9,0.9,0.4,0.6,0,0
"Men, 25 years and over",,,,,,,
Population,424.9,425.4,0,0.5,5.9,0.1,1.4
Labour force,314.1,313.4,1.4,-0.7,6.9,-0.2,2.3
Employment,300.5,298.6,1.5,-1.9,7.9,-0.6,2.7
Unemployment,13.6,14.7,1.3,1.1,-1.1,8.1,-7
Participation rate,73.9,73.7,0.3,-0.2,0.6,0,0
Unemployment rate,4.3,4.7,0.4,0.4,-0.5,0,0
Employment rate,70.7,70.2,0.3,-0.5,0.9,0,0
"Women, 25 years and over",,,,,,,
Population,440,440.4,0,0.4,5,0.1,1.1
Labour force,270.8,268.7,1.6,-2.1,2.2,-0.8,0.8
Employment,259.8,257.8,1.5,-2,2.7,-0.8,1.1
Unemployment,11,10.9,1.2,-0.1,-0.6,-0.9,-5.2
Participation rate,61.5,61,0.4,-0.5,-0.2,0,0
Unemployment rate,4.1,4.1,0.4,0,-0.2,0,0
Employment rate,59,58.5,0.4,-0.5,-0.1,0,0
