,19-Jan,19-Feb,Standard error,January to February 2019,February 2018 to February 2019,January to February 2019,February 2018 to February 2019
"Both sexes, 15 years and over",,,,,,,
Population,628.9,628.9,0,0,2.8,0,0.4
Labour force,386.6,389.5,2.2,2.9,2.2,0.8,0.6
Employment,355,356.5,2.3,1.5,0.7,0.4,0.2
Full-time employment,304.2,303.3,2.8,-0.9,-1.9,-0.3,-0.6
Unemployment,31.6,33,2,1.4,1.5,4.4,4.8
Participation rate,61.5,61.9,0.3,0.4,0,0,0
Unemployment rate,8.2,8.5,0.5,0.3,0.4,0,0
Employment rate,56.4,56.7,0.4,0.3,-0.1,0,0
"Both sexes, 15 to 24 years",,,,,,,
Population,80.2,80.2,0,0,-1,0,-1.2
Labour force,52,54.8,1.1,2.8,0.6,5.4,1.1
Employment,45.9,47.3,1.1,1.4,0.9,3.1,1.9
Unemployment,6.1,7.5,1,1.4,-0.3,23,-3.8
Participation rate,64.8,68.3,1.4,3.5,1.6,0,0
Unemployment rate,11.7,13.7,1.9,2,-0.7,0,0
Employment rate,57.2,59,1.4,1.8,1.9,0,0
"Men, 25 years and over",,,,,,,
Population,266,266,0,0,2.3,0,0.9
Labour force,171,171.1,1.3,0.1,-0.8,0.1,-0.5
Employment,157.1,157.1,1.4,0,0.1,0,0.1
Unemployment,13.9,14.1,1.3,0.2,-0.8,1.4,-5.4
Participation rate,64.3,64.3,0.5,0,-0.9,0,0
Unemployment rate,8.1,8.2,0.7,0.1,-0.5,0,0
Employment rate,59.1,59.1,0.5,0,-0.4,0,0
"Women, 25 years and over",,,,,,,
Population,282.7,282.8,0,0.1,1.7,0,0.6
Labour force,163.6,163.6,1.2,0,2.4,0,1.5
Employment,152,152.1,1.2,0.1,-0.2,0.1,-0.1
Unemployment,11.6,11.5,1,-0.1,2.6,-0.9,29.2
Participation rate,57.9,57.9,0.4,0,0.6,0,0
Unemployment rate,7.1,7,0.6,-0.1,1.5,0,0
Employment rate,53.8,53.8,0.4,0,-0.4,0,0
