,19-Jan,19-Feb,Standard error,January to February 2019,February 2018 to February 2019,January to February 2019,February 2018 to February 2019
"Both sexes, 15 years and over",,,,,,,
Population,441.9,441.7,0,-0.2,-3,0,-0.7
Labour force,262.4,261.9,2,-0.5,1.3,-0.2,0.5
Employment,232.5,231.1,2,-1.4,7.5,-0.6,3.4
Full-time employment,196.5,196.4,2.5,-0.1,6.6,-0.1,3.5
Unemployment,30,30.8,1.9,0.8,-6.2,2.7,-16.8
Participation rate,59.4,59.3,0.4,-0.1,0.7,0,0
Unemployment rate,11.4,11.8,0.7,0.4,-2.4,0,0
Employment rate,52.6,52.3,0.4,-0.3,2,0,0
"Both sexes, 15 to 24 years",,,,,,,
Population,53.6,53.6,0,0,-0.8,0,-1.5
Labour force,31.1,31.9,1,0.8,-0.8,2.6,-2.4
Employment,26.3,25.5,0.9,-0.8,-1.7,-3,-6.3
Unemployment,4.9,6.5,0.9,1.6,1,32.7,18.2
Participation rate,58,59.5,1.9,1.5,-0.6,0,0
Unemployment rate,15.8,20.4,2.7,4.6,3.6,0,0
Employment rate,49.1,47.6,1.7,-1.5,-2.4,0,0
"Men, 25 years and over",,,,,,,
Population,188.9,188.8,0,-0.1,-1.3,-0.1,-0.7
Labour force,121.9,120.9,1.2,-1,3,-0.8,2.5
Employment,105.4,105.4,1.3,0,7.5,0,7.7
Unemployment,16.6,15.5,1.3,-1.1,-4.5,-6.6,-22.5
Participation rate,64.5,64,0.6,-0.5,2,0,0
Unemployment rate,13.6,12.8,1.1,-0.8,-4.2,0,0
Employment rate,55.8,55.8,0.7,0,4.3,0,0
"Women, 25 years and over",,,,,,,
Population,199.3,199.3,0,0,-1,0,-0.5
Labour force,109.3,109,1,-0.3,-1,-0.3,-0.9
Employment,100.8,100.2,1,-0.6,1.8,-0.6,1.8
Unemployment,8.5,8.8,1,0.3,-2.7,3.5,-23.5
Participation rate,54.8,54.7,0.5,-0.1,-0.2,0,0
Unemployment rate,7.8,8.1,0.9,0.3,-2.4,0,0
Employment rate,50.6,50.3,0.5,-0.3,1.2,0,0
