,19-Jan,19-Feb,Standard error,January to February 2019,February 2018 to February 2019,January to February 2019,February 2018 to February 2019
"Both sexes, 15 years and over",,,,,,,
Population,803,803.4,0,0.4,7.2,0,0.9
Labour force,499.2,498.5,2.6,-0.7,3.9,-0.1,0.8
Employment,465.1,466.5,2.7,1.4,10.8,0.3,2.4
Full-time employment,381.6,382.7,3.4,1.1,7.2,0.3,1.9
Unemployment,34.2,32.1,2.4,-2.1,-6.8,-6.1,-17.5
Participation rate,62.2,62,0.3,-0.2,-0.1,0,0
Unemployment rate,6.9,6.4,0.5,-0.5,-1.5,0,0
Employment rate,57.9,58.1,0.3,0.2,0.9,0,0
"Both sexes, 15 to 24 years",,,,,,,
Population,107.9,108,0,0.1,-0.2,0.1,-0.2
Labour force,73.8,75.1,1.5,1.3,5.1,1.8,7.3
Employment,63.9,64.4,1.5,0.5,7.4,0.8,13
Unemployment,9.9,10.7,1.4,0.8,-2.3,8.1,-17.7
Participation rate,68.4,69.5,1.4,1.1,4.8,0,0
Unemployment rate,13.4,14.2,1.9,0.8,-4.4,0,0
Employment rate,59.2,59.6,1.4,0.4,6.9,0,0
"Men, 25 years and over",,,,,,,
Population,334.2,334.5,0,0.3,4.1,0.1,1.2
Labour force,218.4,217,1.5,-1.4,-1.6,-0.6,-0.7
Employment,203.4,203.7,1.6,0.3,1,0.1,0.5
Unemployment,15,13.2,1.4,-1.8,-2.7,-12,-17
Participation rate,65.4,64.9,0.4,-0.5,-1.3,0,0
Unemployment rate,6.9,6.1,0.6,-0.8,-1.2,0,0
Employment rate,60.9,60.9,0.5,0,-0.4,0,0
"Women, 25 years and over",,,,,,,
Population,360.8,361,0,0.2,3.4,0.1,1
Labour force,207,206.5,1.4,-0.5,0.5,-0.2,0.2
Employment,197.7,198.4,1.5,0.7,2.4,0.4,1.2
Unemployment,9.3,8.1,1.2,-1.2,-1.9,-12.9,-19
Participation rate,57.4,57.2,0.4,-0.2,-0.4,0,0
Unemployment rate,4.5,3.9,0.6,-0.6,-1,0,0
Employment rate,54.8,55,0.4,0.2,0.2,0,0
