,19-Jan,19-Feb,Standard error,January to February 2019,February 2018 to February 2019,January to February 2019,February 2018 to February 2019
"Both sexes, 15 years and over",,,,,,,
Population,126.9,127.2,0,0.3,2.5,0.2,2
Labour force,83.7,83.6,0.6,-0.1,-0.3,-0.1,-0.4
Employment,75.5,75,0.6,-0.5,-0.5,-0.7,-0.7
Full-time employment,64.3,63.4,0.8,-0.9,0.6,-1.4,1
Unemployment,8.3,8.6,0.6,0.3,0.1,3.6,1.2
Participation rate,66,65.7,0.5,-0.3,-1.6,0,0
Unemployment rate,9.9,10.3,0.7,0.4,0.2,0,0
Employment rate,59.5,59,0.5,-0.5,-1.5,0,0
"Both sexes, 15 to 24 years ",,,,,,,
Population,18.2,18.2,0,0,0.4,0,2.2
Labour force,12.5,12.5,0.3,0,0.4,0,3.3
Employment,10.5,10.8,0.3,0.3,0.3,2.9,2.9
Unemployment,2.1,1.7,0.3,-0.4,0.2,-19,13.3
Participation rate,68.7,68.7,1.9,0,0.7,0,0
Unemployment rate,16.8,13.6,2.4,-3.2,1.2,0,0
Employment rate,57.7,59.3,1.8,1.6,0.3,0,0
"Men, 25 years and over",,,,,,,
Population,52.4,52.5,0,0.1,1.1,0.2,2.1
Labour force,36.1,36.2,0.3,0.1,-1.1,0.3,-2.9
Employment,32.3,32,0.4,-0.3,-1.5,-0.9,-4.5
Unemployment,3.9,4.2,0.4,0.3,0.4,7.7,10.5
Participation rate,68.9,69,0.7,0.1,-3.6,0,0
Unemployment rate,10.8,11.6,0.9,0.8,1.4,0,0
Employment rate,61.6,61,0.8,-0.6,-4.2,0,0
"Women, 25 years and over",,,,,,,
Population,56.3,56.4,0,0.1,0.9,0.2,1.6
Labour force,35.1,35,0.3,-0.1,0.4,-0.3,1.2
Employment,32.7,32.2,0.4,-0.5,0.8,-1.5,2.5
Unemployment,2.3,2.8,0.3,0.5,-0.3,21.7,-9.7
Participation rate,62.3,62.1,0.6,-0.2,-0.2,0,0
Unemployment rate,6.6,8,0.9,1.4,-1,0,0
Employment rate,58.1,57.1,0.6,-1,0.5,0,0
