,19-Jan,19-Feb,Standard error,January to February 2019,February 2018 to February 2019,January to February 2019,February 2018 to February 2019
"Both sexes, 15 years and over",,,,,,,
Population,7023.3,7026.9,0,3.6,66.6,0.1,1
Labour force,4544.1,4554.1,15.5,10,41.3,0.2,0.9
Employment,4299.6,4314.5,15.6,14.9,54.6,0.3,1.3
Full-time employment,3492.1,3501.1,21.5,9,16.3,0.3,0.5
Unemployment,244.5,239.6,13.4,-4.9,-13.3,-2,-5.3
Participation rate,64.7,64.8,0.2,0.1,0,0,0
Unemployment rate,5.4,5.3,0.3,-0.1,-0.3,0,0
Employment rate,61.2,61.4,0.2,0.2,0.2,0,0
"Both sexes, 15 to 24 years",,,,,,,
Population,899.4,899.1,0,-0.3,-5.7,0,-0.6
Labour force,613.4,608.4,8.8,-5,-3.5,-0.8,-0.6
Employment,556.2,555.2,8.5,-1,-0.7,-0.2,-0.1
Unemployment,57.2,53.2,7,-4,-2.8,-7,-5
Participation rate,68.2,67.7,1,-0.5,0.1,0,0
Unemployment rate,9.3,8.7,1.1,-0.6,-0.5,0,0
Employment rate,61.8,61.8,0.9,0,0.4,0,0
"Men, 25 years and over",,,,,,,
Population,3024,3026.2,0,2.2,38.3,0.1,1.3
Labour force,2077.6,2086.6,8.8,9,14.3,0.4,0.7
Employment,1975.5,1974,9,-1.5,8.8,-0.1,0.4
Unemployment,102.1,112.6,8.1,10.5,5.5,10.3,5.1
Participation rate,68.7,69,0.3,0.3,-0.4,0,0
Unemployment rate,4.9,5.4,0.4,0.5,0.2,0,0
Employment rate,65.3,65.2,0.3,-0.1,-0.6,0,0
"Women, 25 years and over",,,,,,,
Population,3099.8,3101.6,0,1.8,33.9,0.1,1.1
Labour force,1853.1,1859.1,8.3,6,30.4,0.3,1.7
Employment,1768,1785.3,8.8,17.3,46.5,1,2.7
Unemployment,85.2,73.8,7.3,-11.4,-16,-13.4,-17.8
Participation rate,59.8,59.9,0.3,0.1,0.3,0,0
Unemployment rate,4.6,4,0.4,-0.6,-0.9,0,0
Employment rate,57,57.6,0.3,0.6,0.9,0,0
