,19-Jan,19-Feb,Standard error,January to February 2019,February 2018 to February 2019,January to February 2019,February 2018 to February 2019
"Both sexes, 15 years and over",,,,,,,
Population,887.5,887.8,0,0.3,6.2,0,0.7
Labour force,610.1,610,2.5,-0.1,9.7,0,1.6
Employment,576.2,574.9,2.5,-1.3,9.1,-0.2,1.6
Full-time employment,472.3,470.8,3.4,-1.5,6.5,-0.3,1.4
Unemployment,33.8,35.1,2.1,1.3,0.6,3.8,1.7
Participation rate,68.7,68.7,0.3,0,0.6,0,0
Unemployment rate,5.5,5.8,0.3,0.3,0.1,0,0
Employment rate,64.9,64.8,0.3,-0.1,0.6,0,0
"Both sexes, 15 to 24 years",,,,,,,
Population,131.9,131.8,0,-0.1,-1.3,-0.1,-1
Labour force,84.6,84.8,1.4,0.2,2.8,0.2,3.4
Employment,76,76.2,1.3,0.2,3.2,0.3,4.4
Unemployment,8.5,8.6,1.2,0.1,-0.3,1.2,-3.4
Participation rate,64.1,64.3,1.1,0.2,2.7,0,0
Unemployment rate,10,10.1,1.3,0.1,-0.8,0,0
Employment rate,57.6,57.8,1,0.2,3,0,0
"Men, 25 years and over",,,,,,,
Population,378.3,378.5,0,0.2,3.8,0.1,1
Labour force,283.8,283.7,1.3,-0.1,1.2,0,0.4
Employment,270.5,269.1,1.5,-1.4,2.1,-0.5,0.8
Unemployment,13.3,14.6,1.3,1.3,-0.9,9.8,-5.8
Participation rate,75,75,0.4,0,-0.4,0,0
Unemployment rate,4.7,5.1,0.5,0.4,-0.4,0,0
Employment rate,71.5,71.1,0.4,-0.4,-0.2,0,0
"Women, 25 years and over",,,,,,,
Population,377.4,377.5,0,0.1,3.7,0,1
Labour force,241.7,241.4,1.4,-0.3,5.6,-0.1,2.4
Employment,229.7,229.6,1.4,-0.1,3.9,0,1.7
Unemployment,12,11.9,1.1,-0.1,1.8,-0.8,17.8
Participation rate,64,63.9,0.4,-0.1,0.8,0,0
Unemployment rate,5,4.9,0.5,-0.1,0.6,0,0
Employment rate,60.9,60.8,0.4,-0.1,0.4,0,0
