,19-Jan,19-Feb,Standard error,January to February 2019,February 2018 to February 2019,January to February 2019,February 2018 to February 2019
"Total employed, all industries",2326.4,2330.2,9.9,3.8,13.7,0.2,0.6
Goods-producing sector,591.9,595.9,6.4,4,3.8,0.7,0.6
Agriculture,45.7,46.3,2.3,0.6,-3.8,1.3,-7.6
Natural resources{2},149.5,152.1,3.3,2.6,-1.1,1.7,-0.7
Utilities,21.9,23,1.1,1.1,1.6,5,7.5
Construction,237.5,236.2,4.7,-1.3,-2.9,-0.5,-1.2
Manufacturing,137.4,138.2,3,0.8,9.9,0.6,7.7
Services-producing sectoræ,1734.5,1734.2,9.2,-0.3,9.7,0,0.6
Wholesale and retail trade,332.7,333.7,4.8,1,-2.6,0.3,-0.8
Transportation and warehousing,134.4,135.5,3.1,1.1,-6.8,0.8,-4.8
"Finance, insurance, real estate, rental and leasing",105,102.4,2.4,-2.6,-7.3,-2.5,-6.7
"Professional, scientific and technical services",177.4,177.8,3.5,0.4,1,0.2,0.6
"Business, building and other support services",92.2,90.3,3,-1.9,5.9,-2.1,7
Educational services,154.1,153.6,3.4,-0.5,-7.2,-0.3,-4.5
Health care and social assistance,285.3,285.1,3.8,-0.2,10.2,-0.1,3.7
"Information, culture and recreation",77.1,74.8,2.9,-2.3,1.4,-3,1.9
Accommodation and food services,144.2,146.9,3.9,2.7,-1.6,1.9,-1.1
Other services (except public administration),118.9,116.1,3,-2.8,4.4,-2.4,3.9
Public administration,113.1,118,2.3,4.9,12.3,4.3,11.6
