,19-Jan,19-Feb,Standard error,January to February 2019,February 2018 to February 2019,January to February 2019,February 2018 to February 2019
"Total employed, all industries",2544.2,2547.8,10.3,3.6,69.2,0.1,2.8
Goods-producing sector,490,484,6.4,-6,-21.3,-1.2,-4.2
Agriculture,26.2,24.4,2.3,-1.8,-1.8,-6.9,-6.9
Natural resources,46.8,49.3,2,2.5,-0.7,5.3,-1.4
Utilities,12.6,12.5,1.1,-0.1,-0.5,-0.8,-3.8
Construction,236.7,230.4,4.8,-6.3,-9,-2.7,-3.8
Manufacturing,167.7,167.4,3.6,-0.3,-9.3,-0.2,-5.3
Services-producing sector,2054.2,2063.9,9.9,9.7,90.7,0.5,4.6
Wholesale and retail trade,375.4,382,5.3,6.6,6,1.8,1.6
Transportation and warehousing,146,143.7,3,-2.3,13.6,-1.6,10.5
"Finance, insurance, real estate, rental and leasing",150.2,149.1,3.3,-1.1,-3.3,-0.7,-2.2
"Professional, scientific and technical services",222.8,218,4.1,-4.8,16.7,-2.2,8.3
"Business, building and other support services",116.2,116.9,3.5,0.7,17.2,0.6,17.3
Educational services,171.5,171.6,3.8,0.1,9.3,0.1,5.7
Health care and social assistance,315.7,320.8,4.2,5.1,-2.2,1.6,-0.7
"Information, culture and recreation",133.6,137.7,3.8,4.1,8.2,3.1,6.3
Accommodation and food services,198,197,4.5,-1,20.7,-0.5,11.7
Other services (except public administration),117,118.8,2.9,1.8,-2.5,1.5,-2.1
Public administration,107.9,108.1,2.2,0.2,6.8,0.2,6.7
