,19-Jan,19-Feb,Standard error,January to February 2019,February 2018 to February 2019,January to February 2019,February 2018 to February 2019
"Total employed, all industries",657.7,654.4,2.7,-3.3,12.1,-0.5,1.9
Goods-producing sector,152.6,153.2,1.6,0.6,4.7,0.4,3.2
Agriculture,24.6,25.4,0.9,0.8,-0.9,3.3,-3.4
Natural resources{2},6.3,5.9,0.4,-0.4,-0.7,-6.3,-10.6
Utilities,6.6,6.7,0.2,0.1,-0.9,1.5,-11.8
Construction,51.3,50,1,-1.3,2.6,-2.5,5.5
Manufacturing,63.9,65.1,0.9,1.2,4.5,1.9,7.4
Services-producing sectoræ,505,501.2,2.5,-3.8,7.4,-0.8,1.5
Wholesale and retail trade,87.8,86.3,1.2,-1.5,-4.3,-1.7,-4.7
Transportation and warehousing,41.7,42.9,0.8,1.2,6.4,2.9,17.5
"Finance, insurance, real estate, rental and leasing",34.1,34,0.7,-0.1,-2.7,-0.3,-7.4
"Professional, scientific and technical services",31,29.3,0.7,-1.7,0.7,-5.5,2.4
"Business, building and other support services",22.3,22.7,0.8,0.4,3.5,1.8,18.2
Educational services,51.9,50.9,1.1,-1,0.1,-1.9,0.2
Health care and social assistance,106,104.7,1.2,-1.3,1.3,-1.2,1.3
"Information, culture and recreation",22.9,23.5,0.9,0.6,1.3,2.6,5.9
Accommodation and food services,43.1,41.7,1,-1.4,-2.7,-3.2,-6.1
Other services (except public administration),29.2,29.6,0.7,0.4,-0.1,1.4,-0.3
Public administration,35,35.5,0.7,0.5,3.6,1.4,11.3
