,19-Jan,19-Feb,Standard error,January to February 2019,February 2018 to February 2019,January to February 2019,February 2018 to February 2019
"Total employed, all industries",355,356.5,2.3,1.5,0.7,0.4,0.2
Goods-producing sector,73.5,73.2,1.5,-0.3,-0.9,-0.4,-1.2
Agriculture,5.8,5.6,0.5,-0.2,0.5,-3.4,9.8
Natural resources,9.5,9.8,0.6,0.3,1.7,3.2,21
Utilities,3.2,3.3,0.2,0.1,0.2,3.1,6.5
Construction,23.5,23.7,0.9,0.2,-0.8,0.9,-3.3
Manufacturing,31.5,30.9,0.9,-0.6,-2.4,-1.9,-7.2
Services-producing sector,281.5,283.3,2,1.8,1.6,0.6,0.6
Wholesale and retail trade,51.8,52.9,1.1,1.1,-2,2.1,-3.6
Transportation and warehousing,18.9,19.2,0.5,0.3,1.1,1.6,6.1
"Finance, insurance, real estate, rental and leasing",16.2,15.8,0.5,-0.4,-0.2,-2.5,-1.3
"Professional, scientific and technical services",15.3,15.9,0.5,0.6,-0.9,3.9,-5.4
"Business, building and other support services",15.6,15.7,0.7,0.1,-0.2,0.6,-1.3
Educational services,27.4,27.4,0.8,0,1.2,0,4.6
Health care and social assistance,59.8,60.3,0.8,0.5,-0.5,0.8,-0.8
"Information, culture and recreation",13,12.9,0.6,-0.1,2.1,-0.8,19.4
Accommodation and food services,22.8,22.5,0.9,-0.3,-1.6,-1.3,-6.6
Other services (except public administration),14.8,14.6,0.5,-0.2,-0.4,-1.4,-2.7
Public administration,26,26,0.6,0,2.9,0,12.6
