,19-Jan,19-Feb,Standard error,January to February 2019,February 2018 to February 2019,January to February 2019,February 2018 to February 2019
"Total employed, all industries",465.1,466.5,2.7,1.4,10.8,0.3,2.4
Goods-producing sector,84.8,87.8,1.6,3,3.7,3.5,4.4
Agriculture,6.1,6.8,0.5,0.7,1.7,11.5,33.3
Natural resources,10.3,11.8,0.9,1.5,2.6,14.6,28.3
Utilities,3.7,3.9,0.3,0.2,-0.1,5.4,-2.5
Construction,33.5,33.3,1,-0.2,-1.1,-0.6,-3.2
Manufacturing,31.3,32,0.8,0.7,0.5,2.2,1.6
Services-producing sector,380.2,378.7,2.6,-1.5,7.1,-0.4,1.9
Wholesale and retail trade,82.3,82.3,1.4,0,4.2,0,5.4
Transportation and warehousing,20,20.3,0.6,0.3,0.6,1.5,3
"Finance, insurance, real estate, rental and leasing",21.1,20.7,0.6,-0.4,-1.5,-1.9,-6.8
"Professional, scientific and technical services",27.5,28.4,0.8,0.9,1.7,3.3,6.4
"Business, building and other support services",17.8,17,0.8,-0.8,-1.3,-4.5,-7.1
Educational services,38.5,37.4,1,-1.1,-0.5,-2.9,-1.3
Health care and social assistance,70.3,71.6,1.2,1.3,2.9,1.8,4.2
"Information, culture and recreation",19.4,19.5,0.9,0.1,2,0.5,11.4
Accommodation and food services,36.6,34.8,1.2,-1.8,1.1,-4.9,3.3
Other services (except public administration),17.6,17.6,0.7,0,-1.5,0,-7.9
Public administration,29.1,29,0.7,-0.1,-0.7,-0.3,-2.4
