,19-Jan,19-Feb,Standard error,January to February 2019,February 2018 to February 2019,January to February 2019,February 2018 to February 2019
"Total employed, all industries",7341.9,7378.8,19.9,36.9,191.7,0.5,2.7
Goods-producing sector,1455,1468,10.2,13,14.9,0.9,1
Agriculture,71.6,71.3,2.4,-0.3,3.9,-0.4,5.8
Natural resources,35.4,36.2,1.6,0.8,2.7,2.3,8.1
Utilities,57,54.2,1.9,-2.8,1.6,-4.9,3
Construction,523.1,541.4,7,18.3,19.5,3.5,3.7
Manufacturing,767.9,765,7.4,-2.9,-12.7,-0.4,-1.6
Services-producing sector,5886.9,5910.8,19.4,23.9,176.8,0.4,3.1
Wholesale and retail trade,1089.7,1097.8,9.9,8.1,24,0.7,2.2
Transportation and warehousing,407,398.6,6.3,-8.4,32.1,-2.1,8.8
"Finance, insurance, real estate, rental and leasing",564.8,574.4,6.8,9.6,21.2,1.7,3.8
"Professional, scientific and technical services",655.4,669.4,7.6,14,44.1,2.1,7.1
"Business, building and other support services",326.9,329.5,7.3,2.6,14.7,0.8,4.7
Educational services,538.2,541.7,7.4,3.5,35.1,0.7,6.9
Health care and social assistance,886,882.9,7.2,-3.1,35.7,-0.3,4.2
"Information, culture and recreation",292.7,299.5,6.8,6.8,-26.8,2.3,-8.2
Accommodation and food services,462.3,453.2,7.8,-9.1,-15.9,-2,-3.4
Other services (except public administration),301.3,292.6,5.3,-8.7,3.8,-2.9,1.3
Public administration,362.5,371.1,4.8,8.6,8.6,2.4,2.4
