,19-Jan,19-Feb,Standard error,January to February 2019,February 2018 to February 2019,January to February 2019,February 2018 to February 2019
"Total employed, all industries",75.5,75,0.6,-0.5,-0.5,-0.7,-0.7
Goods-producing sector,19.4,19.1,0.5,-0.3,0.2,-1.5,1.1
Agriculture,3.9,3.6,0.3,-0.3,0,-7.7,0
Natural resources{2},2.7,2.5,0.3,-0.2,-0.1,-7.4,-3.8
Utilities,0.3,0.3,0,0,0.1,0,50
Construction,5.8,5.9,0.2,0.1,0.1,1.7,1.7
Manufacturing,6.8,6.8,0.3,0,0,0,0
Services-producing sectoræ,56,55.9,0.5,-0.1,-0.6,-0.2,-1.1
Wholesale and retail trade,11.1,11.3,0.3,0.2,-0.2,1.8,-1.7
Transportation and warehousing,2.8,2.9,0.2,0.1,0.8,3.6,38.1
"Finance, insurance, real estate, rental and leasing",2.7,2.6,0.1,-0.1,-0.3,-3.7,-10.3
"Professional, scientific and technical services",3.1,3,0.2,-0.1,-0.5,-3.2,-14.3
"Business, building and other support services",2.7,2.5,0.2,-0.2,0.6,-7.4,31.6
Educational services,4.9,5.1,0.2,0.2,-0.2,4.1,-3.8
Health care and social assistance,10.4,10.5,0.2,0.1,-0.4,1,-3.7
"Information, culture and recreation",2.4,2.2,0.2,-0.2,-0.8,-8.3,-26.7
Accommodation and food services,5.3,5.5,0.3,0.2,-0.1,3.8,-1.8
Other services (except public administration),3,3,0.2,0,-0.2,0,-6.3
Public administration,7.5,7.4,0.2,-0.1,0.7,-1.3,10.4
