,19-Jan,19-Feb,Standard error,January to February 2019,February 2018 to February 2019,January to February 2019,February 2018 to February 2019
"Total employed, all industries",4299.6,4314.5,15.6,14.9,54.6,0.3,1.3
Goods-producing sector,873,869.7,8.6,-3.3,11.8,-0.4,1.4
Agriculture,50.9,57.3,2.9,6.4,4.5,12.6,8.5
Natural resources,41.5,42,2.2,0.5,2.9,1.2,7.4
Utilities,29,27.9,1.3,-1.1,4.5,-3.8,19.2
Construction,261.4,250.5,5.2,-10.9,4.5,-4.2,1.8
Manufacturing,490.1,492,6.1,1.9,-4.6,0.4,-0.9
Services-producing sector,3426.6,3444.8,14.9,18.2,42.8,0.5,1.3
Wholesale and retail trade,655.6,654.5,7.6,-1.1,-9.3,-0.2,-1.4
Transportation and warehousing,229.8,226.8,4.4,-3,8.6,-1.3,3.9
"Finance, insurance, real estate, rental and leasing",234.1,234.7,4.3,0.6,-2.4,0.3,-1
"Professional, scientific and technical services",347.9,354.8,5.7,6.9,33.2,2,10.3
"Business, building and other support services",190.9,199.2,5,8.3,11.7,4.3,6.2
Educational services,301.3,304.3,5.8,3,10.1,1,3.4
Health care and social assistance,605.4,602,6.3,-3.4,15.6,-0.6,2.7
"Information, culture and recreation",171,166.1,5.5,-4.9,-16.1,-2.9,-8.8
Accommodation and food services,264.2,262.6,6.2,-1.6,-9.4,-0.6,-3.5
Other services (except public administration),175.2,187.9,4.1,12.7,2,7.2,1.1
Public administration,251.1,251.9,4.2,0.8,-1.1,0.3,-0.4
