,19-Jan,19-Feb,Standard error,January to February 2019,February 2018 to February 2019,January to February 2019,February 2018 to February 2019
"Total employed, all industries",576.2,574.9,2.5,-1.3,9.1,-0.2,1.6
Goods-producing sector,146.7,146.1,1.7,-0.6,3.5,-0.4,2.5
Agriculture,39.3,39.2,1,-0.1,4.2,-0.3,12
Natural resources{2},21.9,22.5,0.6,0.6,-1.9,2.7,-7.8
Utilities,6.9,7.2,0.3,0.3,0.3,4.3,4.3
Construction,48.9,47.6,1.1,-1.3,-0.7,-2.7,-1.4
Manufacturing,29.7,29.6,0.6,-0.1,1.7,-0.3,6.1
Services-producing sectoræ,429.6,428.8,2.3,-0.8,5.6,-0.2,1.3
Wholesale and retail trade,87,84.8,1.2,-2.2,-5.6,-2.5,-6.2
Transportation and warehousing,27.3,26.6,0.7,-0.7,-3.4,-2.6,-11.3
"Finance, insurance, real estate, rental and leasing",29.9,30.9,0.6,1,3.3,3.3,12
"Professional, scientific and technical services",26.8,27.3,0.7,0.5,0.6,1.9,2.2
"Business, building and other support services",16.3,16.1,0.6,-0.2,0.5,-1.2,3.2
Educational services,44.7,44.2,0.9,-0.5,2.1,-1.1,5
Health care and social assistance,81.2,81,1,-0.2,4.1,-0.2,5.3
"Information, culture and recreation",19.8,20.7,0.7,0.9,0.8,4.5,4
Accommodation and food services,39.6,39,0.9,-0.6,2.1,-1.5,5.7
Other services (except public administration),26.6,27.5,0.7,0.9,2.1,3.4,8.3
Public administration,30.4,30.5,0.7,0.1,-1.2,0.3,-3.8
